mapa terenu: lwierszy = 40, lkolumn = 40
MojObiekt->iID = 443
MojObiekt->iID = 41
MojObiekt->iID = 467
MojObiekt->iID = 334
P.y = 20.000000, Pt.y = 0.000000, Q.y = 20.000000, Qt.y = 0.000000, R.y = 20.000000, Rt.y = 0.000000, S.y = 20.000000, St.y = 0.000000
P.y = 20.000000, Pt.y = 0.000000, Q.y = 20.000000, Qt.y = 0.000000, R.y = 20.000000, Rt.y = 0.000000, S.y = 20.000000, St.y = 0.000000
P.y = 19.998575, Pt.y = 0.000000, Q.y = 19.998575, Qt.y = 0.000000, R.y = 19.998575, Rt.y = 0.000000, S.y = 19.998575, St.y = 0.000000
P.y = 19.994303, Pt.y = 0.000000, Q.y = 19.994303, Qt.y = 0.000000, R.y = 19.994303, Rt.y = 0.000000, S.y = 19.994303, St.y = 0.000000
P.y = 19.987181, Pt.y = 0.000000, Q.y = 19.987181, Qt.y = 0.000000, R.y = 19.987181, Rt.y = 0.000000, S.y = 19.987181, St.y = 0.000000
P.y = 19.977211, Pt.y = 0.000000, Q.y = 19.977211, Qt.y = 0.000000, R.y = 19.977211, Rt.y = 0.000000, S.y = 19.977211, St.y = 0.000000
P.y = 19.964394, Pt.y = 0.000000, Q.y = 19.964394, Qt.y = 0.000000, R.y = 19.964394, Rt.y = 0.000000, S.y = 19.964394, St.y = 0.000000
P.y = 19.948727, Pt.y = 0.000000, Q.y = 19.948727, Qt.y = 0.000000, R.y = 19.948727, Rt.y = 0.000000, S.y = 19.948727, St.y = 0.000000
P.y = 19.930212, Pt.y = 0.000000, Q.y = 19.930212, Qt.y = 0.000000, R.y = 19.930212, Rt.y = 0.000000, S.y = 19.930212, St.y = 0.000000
P.y = 19.908848, Pt.y = 0.000000, Q.y = 19.908848, Qt.y = 0.000000, R.y = 19.908848, Rt.y = 0.000000, S.y = 19.908848, St.y = 0.000000
P.y = 19.884636, Pt.y = 0.000000, Q.y = 19.884636, Qt.y = 0.000000, R.y = 19.884636, Rt.y = 0.000000, S.y = 19.884636, St.y = 0.000000
P.y = 19.857576, Pt.y = 0.000000, Q.y = 19.857576, Qt.y = 0.000000, R.y = 19.857576, Rt.y = 0.000000, S.y = 19.857576, St.y = 0.000000
P.y = 19.827667, Pt.y = 0.000000, Q.y = 19.827667, Qt.y = 0.000000, R.y = 19.827667, Rt.y = 0.000000, S.y = 19.827667, St.y = 0.000000
P.y = 19.794910, Pt.y = 0.000000, Q.y = 19.794910, Qt.y = 0.000000, R.y = 19.794910, Rt.y = 0.000000, S.y = 19.794910, St.y = 0.000000
P.y = 19.759304, Pt.y = 0.000000, Q.y = 19.759304, Qt.y = 0.000000, R.y = 19.759304, Rt.y = 0.000000, S.y = 19.759304, St.y = 0.000000
P.y = 19.720850, Pt.y = 0.000000, Q.y = 19.720850, Qt.y = 0.000000, R.y = 19.720850, Rt.y = 0.000000, S.y = 19.720850, St.y = 0.000000
P.y = 19.679548, Pt.y = 0.000000, Q.y = 19.679548, Qt.y = 0.000000, R.y = 19.679548, Rt.y = 0.000000, S.y = 19.679548, St.y = 0.000000
P.y = 19.635397, Pt.y = 0.000000, Q.y = 19.635397, Qt.y = 0.000000, R.y = 19.635397, Rt.y = 0.000000, S.y = 19.635397, St.y = 0.000000
P.y = 19.588398, Pt.y = 0.000000, Q.y = 19.588398, Qt.y = 0.000000, R.y = 19.588398, Rt.y = 0.000000, S.y = 19.588398, St.y = 0.000000
P.y = 19.538549, Pt.y = 0.000000, Q.y = 19.538549, Qt.y = 0.000000, R.y = 19.538549, Rt.y = 0.000000, S.y = 19.538549, St.y = 0.000000
P.y = 19.485853, Pt.y = 0.000000, Q.y = 19.485853, Qt.y = 0.000000, R.y = 19.485853, Rt.y = 0.000000, S.y = 19.485853, St.y = 0.000000
P.y = 19.430309, Pt.y = 0.000000, Q.y = 19.430309, Qt.y = 0.000000, R.y = 19.430309, Rt.y = 0.000000, S.y = 19.430309, St.y = 0.000000
P.y = 19.371916, Pt.y = 0.000000, Q.y = 19.371916, Qt.y = 0.000000, R.y = 19.371916, Rt.y = 0.000000, S.y = 19.371916, St.y = 0.000000
P.y = 19.310675, Pt.y = 0.000000, Q.y = 19.310675, Qt.y = 0.000000, R.y = 19.310675, Rt.y = 0.000000, S.y = 19.310675, St.y = 0.000000
P.y = 19.246584, Pt.y = 0.000000, Q.y = 19.246584, Qt.y = 0.000000, R.y = 19.246584, Rt.y = 0.000000, S.y = 19.246584, St.y = 0.000000
P.y = 19.179646, Pt.y = 0.000000, Q.y = 19.179646, Qt.y = 0.000000, R.y = 19.179646, Rt.y = 0.000000, S.y = 19.179646, St.y = 0.000000
P.y = 19.109859, Pt.y = 0.000000, Q.y = 19.109859, Qt.y = 0.000000, R.y = 19.109859, Rt.y = 0.000000, S.y = 19.109859, St.y = 0.000000
P.y = 19.037224, Pt.y = 0.000000, Q.y = 19.037224, Qt.y = 0.000000, R.y = 19.037224, Rt.y = 0.000000, S.y = 19.037224, St.y = 0.000000
P.y = 18.961740, Pt.y = 0.000000, Q.y = 18.961740, Qt.y = 0.000000, R.y = 18.961740, Rt.y = 0.000000, S.y = 18.961740, St.y = 0.000000
P.y = 18.883408, Pt.y = 0.000000, Q.y = 18.883408, Qt.y = 0.000000, R.y = 18.883408, Rt.y = 0.000000, S.y = 18.883408, St.y = 0.000000
P.y = 18.802227, Pt.y = 0.000000, Q.y = 18.802227, Qt.y = 0.000000, R.y = 18.802227, Rt.y = 0.000000, S.y = 18.802227, St.y = 0.000000
P.y = 18.718199, Pt.y = 0.000000, Q.y = 18.718199, Qt.y = 0.000000, R.y = 18.718199, Rt.y = 0.000000, S.y = 18.718199, St.y = 0.000000
P.y = 18.631321, Pt.y = 0.000000, Q.y = 18.631321, Qt.y = 0.000000, R.y = 18.631321, Rt.y = 0.000000, S.y = 18.631321, St.y = 0.000000
P.y = 18.541595, Pt.y = 0.000000, Q.y = 18.541595, Qt.y = 0.000000, R.y = 18.541595, Rt.y = 0.000000, S.y = 18.541595, St.y = 0.000000
P.y = 18.449020, Pt.y = 0.000000, Q.y = 18.449020, Qt.y = 0.000000, R.y = 18.449020, Rt.y = 0.000000, S.y = 18.449020, St.y = 0.000000
P.y = 18.353598, Pt.y = 0.000000, Q.y = 18.353598, Qt.y = 0.000000, R.y = 18.353598, Rt.y = 0.000000, S.y = 18.353598, St.y = 0.000000
P.y = 18.255325, Pt.y = 0.000000, Q.y = 18.255325, Qt.y = 0.000000, R.y = 18.255325, Rt.y = 0.000000, S.y = 18.255325, St.y = 0.000000
P.y = 18.154205, Pt.y = 0.000000, Q.y = 18.154205, Qt.y = 0.000000, R.y = 18.154205, Rt.y = 0.000000, S.y = 18.154205, St.y = 0.000000
P.y = 18.050238, Pt.y = 0.000000, Q.y = 18.050238, Qt.y = 0.000000, R.y = 18.050238, Rt.y = 0.000000, S.y = 18.050238, St.y = 0.000000
P.y = 17.943420, Pt.y = 0.000000, Q.y = 17.943420, Qt.y = 0.000000, R.y = 17.943420, Rt.y = 0.000000, S.y = 17.943420, St.y = 0.000000
P.y = 17.833755, Pt.y = 0.000000, Q.y = 17.833755, Qt.y = 0.000000, R.y = 17.833755, Rt.y = 0.000000, S.y = 17.833755, St.y = 0.000000
P.y = 17.721241, Pt.y = 0.000000, Q.y = 17.721241, Qt.y = 0.000000, R.y = 17.721241, Rt.y = 0.000000, S.y = 17.721241, St.y = 0.000000
P.y = 17.605879, Pt.y = 0.000000, Q.y = 17.605879, Qt.y = 0.000000, R.y = 17.605879, Rt.y = 0.000000, S.y = 17.605879, St.y = 0.000000
P.y = 17.487669, Pt.y = 0.000000, Q.y = 17.487669, Qt.y = 0.000000, R.y = 17.487669, Rt.y = 0.000000, S.y = 17.487669, St.y = 0.000000
P.y = 17.366610, Pt.y = 0.000000, Q.y = 17.366610, Qt.y = 0.000000, R.y = 17.366610, Rt.y = 0.000000, S.y = 17.366610, St.y = 0.000000
P.y = 17.242702, Pt.y = 0.000000, Q.y = 17.242702, Qt.y = 0.000000, R.y = 17.242702, Rt.y = 0.000000, S.y = 17.242702, St.y = 0.000000
P.y = 17.115946, Pt.y = 0.000000, Q.y = 17.115946, Qt.y = 0.000000, R.y = 17.115946, Rt.y = 0.000000, S.y = 17.115946, St.y = 0.000000
P.y = 16.986341, Pt.y = 0.000000, Q.y = 16.986341, Qt.y = 0.000000, R.y = 16.986341, Rt.y = 0.000000, S.y = 16.986341, St.y = 0.000000
P.y = 16.853889, Pt.y = 0.000000, Q.y = 16.853889, Qt.y = 0.000000, R.y = 16.853889, Rt.y = 0.000000, S.y = 16.853889, St.y = 0.000000
P.y = 16.718588, Pt.y = 0.000000, Q.y = 16.718588, Qt.y = 0.000000, R.y = 16.718588, Rt.y = 0.000000, S.y = 16.718588, St.y = 0.000000
P.y = 16.580439, Pt.y = 0.000000, Q.y = 16.580439, Qt.y = 0.000000, R.y = 16.580439, Rt.y = 0.000000, S.y = 16.580439, St.y = 0.000000
MojObiekt->iID = 500
P.y = 16.442616, Pt.y = 0.000000, Q.y = 16.442616, Qt.y = 0.000000, R.y = 16.442616, Rt.y = 0.000000, S.y = 16.442616, St.y = 0.000000
